noaa_fips	county_name
03079	Lincoln County
03081	Little River County
03083	Logan County
03085	Lonoke County
03087	Madison County
03089	Marion County
03091	Miller County
03093	Mississippi County
03095	Monroe County
03097	Montgomery County
03099	Nevada County
03101	Newton County
03103	Ouachita County
03105	Perry County
03107	Phillips County
03109	Pike County
03111	Poinsett County
03113	Polk County
03115	Pope County
03117	Prairie County
03119	Pulaski County
03121	Randolph County
03123	St. Francis County
03125	Saline County
03127	Scott County
03129	Searcy County
03131	Sebastian County
03133	Sevier County
03135	Sharp County
03137	Stone County
03139	Union County
03141	Van Buren County
03143	Washington County
03145	White County
03147	Woodruff County
03149	Yell County
04000	California
04001	Alameda County
04003	Alpine County
04005	Amador County
04007	Butte County
04009	Calaveras County
04011	Colusa County
04013	Contra Costa County
04015	Del Norte County
04017	El Dorado County
04019	Fresno County
04021	Glenn County
04023	Humboldt County
04025	Imperial County
04027	Inyo County
04029	Kern County
04031	Kings County
04033	Lake County
04035	Lassen County
04037	Los Angeles County
04039	Madera County
04041	Marin County
04043	Mariposa County
04045	Mendocino County
04047	Merced County
04049	Modoc County
04051	Mono County
04053	Monterey County
04055	Napa County
04057	Nevada County
04059	Orange County
04061	Placer County
04063	Plumas County
04065	Riverside County
04067	Sacramento County
04069	San Benito County
04071	San Bernardino County
04073	San Diego County
04075	San Francisco County
04077	San Joaquin County
04079	San Luis Obispo County
04081	San Mateo County
04083	Santa Barbara County
04085	Santa Clara County
04087	Santa Cruz County
04089	Shasta County
04091	Sierra County
04093	Siskiyou County
04095	Solano County
04097	Sonoma County
04099	Stanislaus County
04101	Sutter County
04103	Tehama County
04105	Trinity County
04107	Tulare County
04109	Tuolumne County
04111	Ventura County
04113	Yolo County
04115	Yuba County
05000	Colorado
05001	Adams County
05003	Alamosa County
05005	Arapahoe County
05007	Archuleta County
05009	Baca County
05011	Bent County
05013	Boulder County
05014	Broomfield County
05015	Chaffee County
05017	Cheyenne County
05019	Clear Creek County
05021	Conejos County
05023	Costilla County
05025	Crowley County
05027	Custer County
05029	Delta County
05031	Denver County
05033	Dolores County
05035	Douglas County
05037	Eagle County
05039	Elbert County
05041	El Paso County
05043	Fremont County
05045	Garfield County
05047	Gilpin County
05049	Grand County
05051	Gunnison County
05053	Hinsdale County
05055	Huerfano County
05057	Jackson County
05059	Jefferson County
05061	Kiowa County
05063	Kit Carson County
05065	Lake County
05067	La Plata County
05069	Larimer County
05071	Las Animas County
05073	Lincoln County
05075	Logan County
05077	Mesa County
05079	Mineral County
05081	Moffat County
05083	Montezuma County
05085	Montrose County
05087	Morgan County
05089	Otero County
05091	Ouray County
05093	Park County
05095	Phillips County
05097	Pitkin County
05099	Prowers County
05101	Pueblo County
05103	Rio Blanco County
05105	Rio Grande County
05107	Routt County
05109	Saguache County
05111	San Juan County
05113	San Miguel County
05115	Sedgwick County
05117	Summit County
05119	Teller County
05121	Washington County
05123	Weld County
05125	Yuma County
06000	Connecticut
06001	Fairfield County
06003	Hartford County
06005	Litchfield County
06007	Middlesex County
06009	New Haven County
06011	New London County
06013	Tolland County
06015	Windham County
07000	Delaware
07001	Kent County
07003	New Castle County
07005	Sussex County
07000	District of Columbia
07001	District of Columbia
08000	Florida
08001	Alachua County
08003	Baker County
08005	Bay County
08007	Bradford County
08009	Brevard County
08011	Broward County
08013	Calhoun County
08015	Charlotte County
08017	Citrus County
08019	Clay County
08021	Collier County
08023	Columbia County
08027	DeSoto County
08029	Dixie County
08031	Duval County
08033	Escambia County
08035	Flagler County
08037	Franklin County
08039	Gadsden County
08041	Gilchrist County
08043	Glades County
08045	Gulf County
08047	Hamilton County
08049	Hardee County
08051	Hendry County
08053	Hernando County
08055	Highlands County
08057	Hillsborough County
08059	Holmes County
08061	Indian River County
08063	Jackson County
08065	Jefferson County
08067	Lafayette County
08069	Lake County
08071	Lee County
08073	Leon County
08075	Levy County
08077	Liberty County
08079	Madison County
08081	Manatee County
08083	Marion County
08085	Martin County
08086	Miami-Dade County
08087	Monroe County
08089	Nassau County
08091	Okaloosa County
08093	Okeechobee County
08095	Orange County
08097	Osceola County
08099	Palm Beach County
08101	Pasco County
08103	Pinellas County
08105	Polk County
08107	Putnam County
08109	St. Johns County
08111	St. Lucie County
08113	Santa Rosa County
08115	Sarasota County
08117	Seminole County
08119	Sumter County
08121	Suwannee County
08123	Taylor County
08125	Union County
08127	Volusia County
08129	Wakulla County
08131	Walton County
08133	Washington County
09000	Georgia
09001	Appling County
09003	Atkinson County
09005	Bacon County
09007	Baker County
09009	Baldwin County
09011	Banks County
09013	Barrow County
09015	Bartow County
09017	Ben Hill County
09019	Berrien County
09021	Bibb County
09023	Bleckley County
09025	Brantley County
09027	Brooks County
09029	Bryan County
09031	Bulloch County
09033	Burke County
09035	Butts County
09037	Calhoun County
09039	Camden County
09043	Candler County
09045	Carroll County
09047	Catoosa County
09049	Charlton County
09051	Chatham County
09053	Chattahoochee County
09055	Chattooga County
09057	Cherokee County
09059	Clarke County
09061	Clay County
09063	Clayton County
09065	Clinch County
09067	Cobb County
09069	Coffee County
09071	Colquitt County
09073	Columbia County
09075	Cook County
09077	Coweta County
09079	Crawford County
09081	Crisp County
09083	Dade County
09085	Dawson County
09087	Decatur County
09089	DeKalb County
09091	Dodge County
09093	Dooly County
09095	Dougherty County
09097	Douglas County
09099	Early County
09101	Echols County
09103	Effingham County
09105	Elbert County
09107	Emanuel County
09109	Evans County
09111	Fannin County
09113	Fayette County
09115	Floyd County
09117	Forsyth County
09119	Franklin County
09121	Fulton County
09123	Gilmer County
09125	Glascock County
09127	Glynn County
09129	Gordon County
09131	Grady County
09133	Greene County
09135	Gwinnett County
09137	Habersham County
09139	Hall County
09141	Hancock County
09143	Haralson County
09145	Harris County
09147	Hart County
09149	Heard County
09151	Henry County
09153	Houston County
09155	Irwin County
09157	Jackson County
09159	Jasper County
09161	Jeff Davis County
09163	Jefferson County
09165	Jenkins County
09167	Johnson County
09169	Jones County
09171	Lamar County
09173	Lanier County
09175	Laurens County
09177	Lee County
09179	Liberty County
09181	Lincoln County
09183	Long County
09185	Lowndes County
09187	Lumpkin County
09189	McDuffie County
09191	McIntosh County
09193	Macon County
09195	Madison County
09197	Marion County
09199	Meriwether County
09201	Miller County
09205	Mitchell County
09207	Monroe County
09209	Montgomery County
09211	Morgan County
09213	Murray County
09215	Muscogee County
09217	Newton County
09219	Oconee County
09221	Oglethorpe County
09223	Paulding County
09225	Peach County
09227	Pickens County
09229	Pierce County
09231	Pike County
09233	Polk County
09235	Pulaski County
09237	Putnam County
09239	Quitman County
09241	Rabun County
09243	Randolph County
09245	Richmond County
09247	Rockdale County
09249	Schley County
09251	Screven County
09253	Seminole County
09255	Spalding County
09257	Stephens County
09259	Stewart County
09261	Sumter County
09263	Talbot County
09265	Taliaferro County
09267	Tattnall County
09269	Taylor County
09271	Telfair County
09273	Terrell County
09275	Thomas County
09277	Tift County
09279	Toombs County
09281	Towns County
09283	Treutlen County
09285	Troup County
09287	Turner County
09289	Twiggs County
09291	Union County
09293	Upson County
09295	Walker County
09297	Walton County
09299	Ware County
09301	Warren County
09303	Washington County
09305	Wayne County
09307	Webster County
09309	Wheeler County
09311	White County
09313	Whitfield County
09315	Wilcox County
09317	Wilkes County
09319	Wilkinson County
09321	Worth County
09000	Hawaii
09001	Hawaii County
09003	Honolulu County
09005	Kalawao County
09007	Kauai County
09009	Maui County
10000	Idaho
10001	Ada County
10003	Adams County
10005	Bannock County
10007	Bear Lake County
10009	Benewah County
10011	Bingham County
10013	Blaine County
10015	Boise County
10017	Bonner County
10019	Bonneville County
10021	Boundary County
10023	Butte County
10025	Camas County
10027	Canyon County
10029	Caribou County
10031	Cassia County
10033	Clark County
10035	Clearwater County
10037	Custer County
10039	Elmore County
10041	Franklin County
10043	Fremont County
10045	Gem County
10047	Gooding County
10049	Idaho County
10051	Jefferson County
10053	Jerome County
10055	Kootenai County
10057	Latah County
10059	Lemhi County
10061	Lewis County
10063	Lincoln County
10065	Madison County
10067	Minidoka County
10069	Nez Perce County
10071	Oneida County
10073	Owyhee County
10075	Payette County
10077	Power County
10079	Shoshone County
10081	Teton County
10083	Twin Falls County
10085	Valley County
10087	Washington County
11000	Illinois
11001	Adams County
11003	Alexander County
11005	Bond County
11007	Boone County
11009	Brown County
11011	Bureau County
11013	Calhoun County
11015	Carroll County
11017	Cass County
11019	Champaign County
11021	Christian County
11023	Clark County
11025	Clay County
11027	Clinton County
11029	Coles County
11031	Cook County
11033	Crawford County
11035	Cumberland County
11037	DeKalb County
11039	De Witt County
11041	Douglas County
11043	DuPage County
11045	Edgar County
11047	Edwards County
11049	Effingham County
11051	Fayette County
11053	Ford County
11055	Franklin County
11057	Fulton County
11059	Gallatin County
11061	Greene County
11063	Grundy County
11065	Hamilton County
11067	Hancock County
11069	Hardin County
11071	Henderson County
11073	Henry County
11075	Iroquois County
11077	Jackson County
11079	Jasper County
11081	Jefferson County
11083	Jersey County
11085	Jo Daviess County
11087	Johnson County
11089	Kane County
11091	Kankakee County
11093	Kendall County
11095	Knox County
11097	Lake County
11099	La Salle County
11101	Lawrence County
11103	Lee County
11105	Livingston County
11107	Logan County
11109	McDonough County
11111	McHenry County
11113	McLean County
11115	Macon County
11117	Macoupin County
11119	Madison County
11121	Marion County
11123	Marshall County
11125	Mason County
11127	Massac County
11129	Menard County
11131	Mercer County
11133	Monroe County
11135	Montgomery County
11137	Morgan County
11139	Moultrie County
11141	Ogle County
11143	Peoria County
11145	Perry County
11147	Piatt County
11149	Pike County
11151	Pope County
11153	Pulaski County
11155	Putnam County
11157	Randolph County
11159	Richland County
11161	Rock Island County
11163	St. Clair County
11165	Saline County
11167	Sangamon County
11169	Schuyler County
11171	Scott County
11173	Shelby County
11175	Stark County
11177	Stephenson County
11179	Tazewell County
11181	Union County
11183	Vermilion County
11185	Wabash County
11187	Warren County
11189	Washington County
11191	Wayne County
11193	White County
11195	Whiteside County
11197	Will County
11199	Williamson County
11201	Winnebago County
11203	Woodford County
12000	Indiana
12001	Adams County
12003	Allen County
12005	Bartholomew County
12007	Benton County
12009	Blackford County
12011	Boone County
12013	Brown County
12015	Carroll County
12017	Cass County
12019	Clark County
12021	Clay County
12023	Clinton County
12025	Crawford County
12027	Daviess County
12029	Dearborn County
12031	Decatur County
12033	De Kalb County
12035	Delaware County
12037	Dubois County
12039	Elkhart County
12041	Fayette County
12043	Floyd County
12045	Fountain County
12047	Franklin County
12049	Fulton County
12051	Gibson County
12053	Grant County
12055	Greene County
12057	Hamilton County
12059	Hancock County
12061	Harrison County
12063	Hendricks County
12065	Henry County
12067	Howard County
12069	Huntington County
12071	Jackson County
12073	Jasper County
12075	Jay County
12077	Jefferson County
12079	Jennings County
12081	Johnson County
12083	Knox County
12085	Kosciusko County
12087	Lagrange County
12089	Lake County
12091	La Porte County
12093	Lawrence County
12095	Madison County
12097	Marion County
12099	Marshall County
12101	Martin County
12103	Miami County
12105	Monroe County
12107	Montgomery County
12109	Morgan County
12111	Newton County
12113	Noble County
12115	Ohio County
12117	Orange County
12119	Owen County
12121	Parke County
12123	Perry County
12125	Pike County
12127	Porter County
12129	Posey County
12131	Pulaski County
12133	Putnam County
12135	Randolph County
12137	Ripley County
12139	Rush County
12141	St. Joseph County
12143	Scott County
12145	Shelby County
12147	Spencer County
12149	Starke County
12151	Steuben County
12153	Sullivan County
12155	Switzerland County
12157	Tippecanoe County
12159	Tipton County
12161	Union County
12163	Vanderburgh County
12165	Vermillion County
12167	Vigo County
12169	Wabash County
12171	Warren County
12173	Warrick County
12175	Washington County
12177	Wayne County
12179	Wells County
12181	White County
12183	Whitley County
13000	Iowa
13001	Adair County
13003	Adams County
13005	Allamakee County
13007	Appanoose County
13009	Audubon County
13011	Benton County
13013	Black Hawk County
13015	Boone County
13017	Bremer County
13019	Buchanan County
13021	Buena Vista County
13023	Butler County
13025	Calhoun County
13027	Carroll County
13029	Cass County
13031	Cedar County
13033	Cerro Gordo County
13035	Cherokee County
13037	Chickasaw County
13039	Clarke County
13041	Clay County
13043	Clayton County
13045	Clinton County
13047	Crawford County
13049	Dallas County
13051	Davis County
13053	Decatur County
13055	Delaware County
13057	Des Moines County
13059	Dickinson County
13061	Dubuque County
13063	Emmet County
13065	Fayette County
13067	Floyd County
13069	Franklin County
13071	Fremont County
13073	Greene County
13075	Grundy County
13077	Guthrie County
13079	Hamilton County
13081	Hancock County
13083	Hardin County
13085	Harrison County
13087	Henry County
13089	Howard County
13091	Humboldt County
13093	Ida County
13095	Iowa County
13097	Jackson County
13099	Jasper County
13101	Jefferson County
13103	Johnson County
13105	Jones County
13107	Keokuk County
13109	Kossuth County
13111	Lee County
13113	Linn County
13115	Louisa County
13117	Lucas County
13119	Lyon County
13121	Madison County
13123	Mahaska County
13125	Marion County
13127	Marshall County
13129	Mills County
13131	Mitchell County
13133	Monona County
13135	Monroe County
13137	Montgomery County
13139	Muscatine County
13141	O'Brien County
13143	Osceola County
13145	Page County
13147	Palo Alto County
13149	Plymouth County
13151	Pocahontas County
13153	Polk County
13155	Pottawattamie County
13157	Poweshiek County
13159	Ringgold County
13161	Sac County
13163	Scott County
13165	Shelby County
13167	Sioux County
13169	Story County
13171	Tama County
13173	Taylor County
13175	Union County
13177	Van Buren County
13179	Wapello County
13181	Warren County
13183	Washington County
13185	Wayne County
13187	Webster County
13189	Winnebago County
13191	Winneshiek County
13193	Woodbury County
13195	Worth County
13197	Wright County
14000	Kansas
14001	Allen County
14003	Anderson County
14005	Atchison County
14007	Barber County
14009	Barton County
14011	Bourbon County
14013	Brown County
14015	Butler County
14017	Chase County
14019	Chautauqua County
14021	Cherokee County
14023	Cheyenne County
14025	Clark County
14027	Clay County
14029	Cloud County
14031	Coffey County
14033	Comanche County
14035	Cowley County
14037	Crawford County
14039	Decatur County
14041	Dickinson County
14043	Doniphan County
14045	Douglas County
14047	Edwards County
14049	Elk County
14051	Ellis County
14053	Ellsworth County
14055	Finney County
14057	Ford County
14059	Franklin County
14061	Geary County
14063	Gove County
14065	Graham County
14067	Grant County
14069	Gray County
14071	Greeley County
14073	Greenwood County
14075	Hamilton County
14077	Harper County
14079	Harvey County
14081	Haskell County
14083	Hodgeman County
14085	Jackson County
14087	Jefferson County
14089	Jewell County
14091	Johnson County
14093	Kearny County
14095	Kingman County
14097	Kiowa County
14099	Labette County
14101	Lane County
14103	Leavenworth County
14105	Lincoln County
14107	Linn County
14109	Logan County
14111	Lyon County
14113	McPherson County
14115	Marion County
14117	Marshall County
14119	Meade County
14121	Miami County
14123	Mitchell County
14125	Montgomery County
14127	Morris County
14129	Morton County
14131	Nemaha County
14133	Neosho County
14135	Ness County
14137	Norton County
14139	Osage County
14141	Osborne County
14143	Ottawa County
14145	Pawnee County
14147	Phillips County
14149	Pottawatomie County
14151	Pratt County
14153	Rawlins County
14155	Reno County
14157	Republic County
14159	Rice County
14161	Riley County
14163	Rooks County
14165	Rush County
14167	Russell County
14169	Saline County
14171	Scott County
14173	Sedgwick County
14175	Seward County
14177	Shawnee County
14179	Sheridan County
14181	Sherman County
14183	Smith County
14185	Stafford County
14187	Stanton County
14189	Stevens County
14191	Sumner County
14193	Thomas County
14195	Trego County
14197	Wabaunsee County
14199	Wallace County
14201	Washington County
14203	Wichita County
14205	Wilson County
14207	Woodson County
14209	Wyandotte County
15000	Kentucky
15001	Adair County
15003	Allen County
15005	Anderson County
15007	Ballard County
15009	Barren County
15011	Bath County
15013	Bell County
15015	Boone County
15017	Bourbon County
15019	Boyd County
15021	Boyle County
15023	Bracken County
15025	Breathitt County
15027	Breckinridge County
15029	Bullitt County
15031	Butler County
15033	Caldwell County
15035	Calloway County
15037	Campbell County
15039	Carlisle County
15041	Carroll County
15043	Carter County
15045	Casey County
15047	Christian County
15049	Clark County
15051	Clay County
15053	Clinton County
15055	Crittenden County
15057	Cumberland County
15059	Daviess County
15061	Edmonson County
15063	Elliott County
15065	Estill County
15067	Fayette County
15069	Fleming County
15071	Floyd County
15073	Franklin County
15075	Fulton County
15077	Gallatin County
15079	Garrard County
15081	Grant County
15083	Graves County
15085	Grayson County
15087	Green County
15089	Greenup County
15091	Hancock County
15093	Hardin County
15095	Harlan County
15097	Harrison County
15099	Hart County
15101	Henderson County
15103	Henry County
15105	Hickman County
15107	Hopkins County
15109	Jackson County
15111	Jefferson County
15113	Jessamine County
15115	Johnson County
15117	Kenton County
15119	Knott County
15121	Knox County
15123	Larue County
15125	Laurel County
15127	Lawrence County
15129	Lee County
15131	Leslie County
15133	Letcher County
15135	Lewis County
15137	Lincoln County
15139	Livingston County
15141	Logan County
15143	Lyon County
15145	McCracken County
15147	McCreary County
15149	McLean County
15151	Madison County
15153	Magoffin County
15155	Marion County
15157	Marshall County
15159	Martin County
15161	Mason County
15163	Meade County
15165	Menifee County
15167	Mercer County
15169	Metcalfe County
15171	Monroe County
15173	Montgomery County
15175	Morgan County
15177	Muhlenberg County
15179	Nelson County
15181	Nicholas County
15183	Ohio County
15185	Oldham County
15187	Owen County
15189	Owsley County
15191	Pendleton County
15193	Perry County
15195	Pike County
15197	Powell County
15199	Pulaski County
15201	Robertson County
15203	Rockcastle County
15205	Rowan County
15207	Russell County
15209	Scott County
15211	Shelby County
15213	Simpson County
15215	Spencer County
15217	Taylor County
15219	Todd County
15221	Trigg County
15223	Trimble County
15225	Union County
15227	Warren County
15229	Washington County
15231	Wayne County
15233	Webster County
15235	Whitley County
15237	Wolfe County
15239	Woodford County
16000	Louisiana
16001	Acadia Parish
16003	Allen Parish
16005	Ascension Parish
16007	Assumption Parish
16009	Avoyelles Parish
16011	Beauregard Parish
16013	Bienville Parish
16015	Bossier Parish
16017	Caddo Parish
16019	Calcasieu Parish
16021	Caldwell Parish
16023	Cameron Parish
16025	Catahoula Parish
16027	Claiborne Parish
16029	Concordia Parish
16031	De Soto Parish
16033	East Baton Rouge Parish
16035	East Carroll Parish
16037	East Feliciana Parish
16039	Evangeline Parish
16041	Franklin Parish
16043	Grant Parish
16045	Iberia Parish
16047	Iberville Parish
16049	Jackson Parish
16051	Jefferson Parish
16053	Jefferson Davis Parish
16055	Lafayette Parish
16057	Lafourche Parish
16059	La Salle Parish
16061	Lincoln Parish
16063	Livingston Parish
16065	Madison Parish
16067	Morehouse Parish
16069	Natchitoches Parish
16071	Orleans Parish
16073	Ouachita Parish
16075	Plaquemines Parish
16077	Pointe Coupee Parish
16079	Rapides Parish
16081	Red River Parish
16083	Richland Parish
16085	Sabine Parish
16087	St. Bernard Parish
16089	St. Charles Parish
16091	St. Helena Parish
16093	St. James Parish
16095	St. John the Baptist Parish
16097	St. Landry Parish
16099	St. Martin Parish
16101	St. Mary Parish
16103	St. Tammany Parish
16105	Tangipahoa Parish
16107	Tensas Parish
16109	Terrebonne Parish
16111	Union Parish
16113	Vermilion Parish
16115	Vernon Parish
16117	Washington Parish
16119	Webster Parish
16121	West Baton Rouge Parish
16123	West Carroll Parish
16125	West Feliciana Parish
16127	Winn Parish
17000	Maine
17001	Androscoggin County
17003	Aroostook County
17005	Cumberland County
17007	Franklin County
17009	Hancock County
17011	Kennebec County
17013	Knox County
17015	Lincoln County
17017	Oxford County
17019	Penobscot County
17021	Piscataquis County
17023	Sagadahoc County
17025	Somerset County
17027	Waldo County
17029	Washington County
17031	York County
18000	Maryland
18001	Allegany County
18003	Anne Arundel County
18005	Baltimore County
18009	Calvert County
18011	Caroline County
18013	Carroll County
18015	Cecil County
18017	Charles County
18019	Dorchester County
18021	Frederick County
18023	Garrett County
18025	Harford County
18027	Howard County
18029	Kent County
18031	Montgomery County
18033	Prince George's County
18035	Queen Anne's County
18037	St. Mary's County
18039	Somerset County
18041	Talbot County
18043	Washington County
18045	Wicomico County
18047	Worcester County
18510	Baltimore city
19000	Massachusetts
19001	Barnstable County
19003	Berkshire County
19005	Bristol County
19007	Dukes County
19009	Essex County
19011	Franklin County
19013	Hampden County
19015	Hampshire County
19017	Middlesex County
19019	Nantucket County
19021	Norfolk County
19023	Plymouth County
19025	Suffolk County
19027	Worcester County
20000	Michigan
20001	Alcona County
20003	Alger County
20005	Allegan County
20007	Alpena County
20009	Antrim County
20011	Arenac County
20013	Baraga County
20015	Barry County
20017	Bay County
20019	Benzie County
20021	Berrien County
20023	Branch County
20025	Calhoun County
20027	Cass County
20029	Charlevoix County
20031	Cheboygan County
20033	Chippewa County
20035	Clare County
20037	Clinton County
20039	Crawford County
20041	Delta County
20043	Dickinson County
20045	Eaton County
20047	Emmet County
20049	Genesee County
20051	Gladwin County
20053	Gogebic County
20055	Grand Traverse County
20057	Gratiot County
20059	Hillsdale County
20061	Houghton County
20063	Huron County
20065	Ingham County
20067	Ionia County
20069	Iosco County
20071	Iron County
20073	Isabella County
20075	Jackson County
20077	Kalamazoo County
20079	Kalkaska County
20081	Kent County
20083	Keweenaw County
20085	Lake County
20087	Lapeer County
20089	Leelanau County
20091	Lenawee County
20093	Livingston County
20095	Luce County
20097	Mackinac County
20099	Macomb County
20101	Manistee County
20103	Marquette County
20105	Mason County
20107	Mecosta County
20109	Menominee County
20111	Midland County
20113	Missaukee County
20115	Monroe County
20117	Montcalm County
20119	Montmorency County
20121	Muskegon County
20123	Newaygo County
20125	Oakland County
20127	Oceana County
20129	Ogemaw County
20131	Ontonagon County
20133	Osceola County
20135	Oscoda County
20137	Otsego County
20139	Ottawa County
20141	Presque Isle County
20143	Roscommon County
20145	Saginaw County
20147	St. Clair County
20149	St. Joseph County
20151	Sanilac County
20153	Schoolcraft County
20155	Shiawassee County
20157	Tuscola County
20159	Van Buren County
20161	Washtenaw County
20163	Wayne County
20165	Wexford County
21000	Minnesota
21001	Aitkin County
21003	Anoka County
21005	Becker County
21007	Beltrami County
21009	Benton County
21011	Big Stone County
21013	Blue Earth County
21015	Brown County
21017	Carlton County
21019	Carver County
21021	Cass County
21023	Chippewa County
21025	Chisago County
21027	Clay County
21029	Clearwater County
21031	Cook County
21033	Cottonwood County
21035	Crow Wing County
21037	Dakota County
21039	Dodge County
21041	Douglas County
21043	Faribault County
21045	Fillmore County
21047	Freeborn County
21049	Goodhue County
21051	Grant County
21053	Hennepin County
21055	Houston County
21057	Hubbard County
21059	Isanti County
21061	Itasca County
21063	Jackson County
21065	Kanabec County
21067	Kandiyohi County
21069	Kittson County
21071	Koochiching County
21073	Lac qui Parle County
21075	Lake County
21077	Lake of the Woods County
21079	Le Sueur County
21081	Lincoln County
21083	Lyon County
21085	McLeod County
21087	Mahnomen County
21089	Marshall County
21091	Martin County
21093	Meeker County
21095	Mille Lacs County
21097	Morrison County
21099	Mower County
21101	Murray County
21103	Nicollet County
21105	Nobles County
21107	Norman County
21109	Olmsted County
21111	Otter Tail County
21113	Pennington County
21115	Pine County
21117	Pipestone County
21119	Polk County
21121	Pope County
21123	Ramsey County
21125	Red Lake County
21127	Redwood County
21129	Renville County
21131	Rice County
21133	Rock County
21135	Roseau County
21137	St. Louis County
21139	Scott County
21141	Sherburne County
21143	Sibley County
21145	Stearns County
21147	Steele County
21149	Stevens County
21151	Swift County
21153	Todd County
21155	Traverse County
21157	Wabasha County
21159	Wadena County
21161	Waseca County
21163	Washington County
21165	Watonwan County
21167	Wilkin County
21169	Winona County
21171	Wright County
21173	Yellow Medicine County
22000	Mississippi
22001	Adams County
22003	Alcorn County
22005	Amite County
22007	Attala County
22009	Benton County
22011	Bolivar County
22013	Calhoun County
22015	Carroll County
22017	Chickasaw County
22019	Choctaw County
22021	Claiborne County
22023	Clarke County
22025	Clay County
22027	Coahoma County
22029	Copiah County
22031	Covington County
22033	DeSoto County
22035	Forrest County
22037	Franklin County
22039	George County
22041	Greene County
22043	Grenada County
22045	Hancock County
22047	Harrison County
22049	Hinds County
22051	Holmes County
22053	Humphreys County
22055	Issaquena County
22057	Itawamba County
22059	Jackson County
22061	Jasper County
22063	Jefferson County
22065	Jefferson Davis County
22067	Jones County
22069	Kemper County
22071	Lafayette County
22073	Lamar County
22075	Lauderdale County
22077	Lawrence County
22079	Leake County
22081	Lee County
22083	Leflore County
22085	Lincoln County
22087	Lowndes County
22089	Madison County
22091	Marion County
22093	Marshall County
22095	Monroe County
22097	Montgomery County
22099	Neshoba County
22101	Newton County
22103	Noxubee County
22105	Oktibbeha County
22107	Panola County
22109	Pearl River County
22111	Perry County
22113	Pike County
22115	Pontotoc County
22117	Prentiss County
22119	Quitman County
22121	Rankin County
22123	Scott County
22125	Sharkey County
22127	Simpson County
22129	Smith County
22131	Stone County
22133	Sunflower County
22135	Tallahatchie County
22137	Tate County
22139	Tippah County
22141	Tishomingo County
22143	Tunica County
22145	Union County
22147	Walthall County
22149	Warren County
22151	Washington County
22153	Wayne County
22155	Webster County
22157	Wilkinson County
22159	Winston County
22161	Yalobusha County
22163	Yazoo County
23000	Missouri
23001	Adair County
23003	Andrew County
23005	Atchison County
23007	Audrain County
23009	Barry County
23011	Barton County
23013	Bates County
23015	Benton County
23017	Bollinger County
23019	Boone County
23021	Buchanan County
23023	Butler County
23025	Caldwell County
23027	Callaway County
23029	Camden County
23031	Cape Girardeau County
23033	Carroll County
23035	Carter County
23037	Cass County
23039	Cedar County
23041	Chariton County
23043	Christian County
23045	Clark County
23047	Clay County
23049	Clinton County
23051	Cole County
23053	Cooper County
23055	Crawford County
23057	Dade County
23059	Dallas County
23061	Daviess County
23063	DeKalb County
23065	Dent County
23067	Douglas County
23069	Dunklin County
23071	Franklin County
23073	Gasconade County
23075	Gentry County
23077	Greene County
23079	Grundy County
23081	Harrison County
23083	Henry County
23085	Hickory County
23087	Holt County
23089	Howard County
